Medicine Name,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,Condition,Content,Substitute,Drug Class,InteractionEffect,NotRecommendedFor,InteractsWith0,InteractsWith1,InteractsWith2
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Panic Disorder,"""After a very stressful period I started to have panic attacks and feeling awful. I now take 75mg a day and it has been a life saver, the feelings have completely disappeared and I got my life back. I had very little side effects, have been taking these meds for 18 months, I would say it took around 6 months before all feelings of panic and anxiety went.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I just reached the completion of my fourth week on Zoloft and am starting to feel the effects. Starting with 25mg for two weeks, I experienced little to no side effects - the dosage was upped to 50mg for the following two weeks. As expected, I felt no benefits for the large part of the latter weeks, however for the past 2.5 days I believe that the medicine has been activating. And in all honesty, this feeling is little bit trippy, you certainly feel altered, but I love it. I've gone throughout my day for the larger part without snow balling my thoughts into catastrophic thinking. 

PLEASE do give this medicine a serious chance. It's common to have poor experiences with your first exposures to SSRI's, as it is a foreign to your body. For me, lexapro really  was no good, then I switched to zoloft, and boom: no side effects, huge benefits in alleviating anxiety. Maybe if I started with zoloft, it would've sucked, then lexapro would've been fine - who knows.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""I was taking 10 mg for 2 months, after 5 weeks on that dosage I felt depressed & weepy & suicidal.  Consulted my Dr who increased dosage to 20 mg daily after a few days felt happy again , but after 4 weeks started feeling sad again""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Panic Disorder,"Zoloft (sertraline)""Zoloft almost ruined my life! Anxiety became depression with suicidal thoughts.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Postpartum Depression,"Zoloft (sertraline)""Zoloft saved my life after having post natal Anxiety after the birth of each of my children. I had severe anxiety, panic attacks and insomnia which led to depression. I was fearful about being alone.I was hospitalised for 8-12 weeks each time. Anxiety and depression is heightened when you first start this medication so Don't give up on it Give it a chance to work It took at least 8-10 weeks to start feeling like my self again then 12 weeks for symptoms to disappear. Don't be afraid to take a sedative at the start to ease the bumpy side effects. Stick it out. It will be worth it in the long run. I frantically googled reviews on here just like you so wanted to write my story to encourage another mum experiencing similar symptom""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Major Depressive Disorder,"Zoloft (sertraline)""For me this was the worst med ever. It made me suicidal, low mood, and low motivation. I do not tolerate SSRI or SNRI well. I feel doctors throw these at you without giving antipsychotics, or benzodiazipens a fair chance. No 2 people react to meds the same, and for me zoloft was one of the worst meds.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"Zoloft (sertraline)""My psychiatrist started me on 25 mg for a month and then upped my dose to 50 mg for my anxiety. I have to say that I'm doing great. The only side effects I had was diarrhea which only lasted for a couple of days. Now the only thing I have is tingling feeling in my legs but other than that Zoloft is a life saver.  Going on two months with this medication.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"Lexapro (escitalopram)""Hi all,

I have been suffering from severe generalised anxiety disorder with social anxiety since I was 25. I am turning 31 in a couple of weeks. Throughout this time I've been on and off sertraline. I always found that the initial 2 or 3 weeks were OK but then I'd be back to square one with my anxiety. I am currently taking 10mg for the last 3 weeks and I feel the past 3 days I'm back to square one completely. I'm not sleeping, eating, I just am not functioning. I've a 16 month old son, a partner and a job that I need to be well for. Has anyone any advice on what medications, maybe a combination, have been affective in completely ridding their anxiety and allowing them to function? Desperate for help and advice. Thanks.""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""I started sertraline while still drinking and stayed on it through recovery. Can't say that the drug was effective during the period that I was drinking though I give the medication some credit with helping my mood and anxiety in early sobriety. Problem was that two years into sobriety it seemed the medication stopped working for depression. So I moved on to another antidepressant.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I started taking half pill for the first 7 days. I only lasted 3 days and had to remove myself from it. The first day I took the pill in the morning and felt fine other then being wide awake. That night I was restless and could not sleep. The next day I spent the entire day feeling like I was buzzing around. Like I had chugged a energy drink that never wore off. That night I again couldn't sleep but when I did catch an hours worth I had crazy dreams. Doctor pulled me off the drug the next day. I made it through the night thanks to Ativan that night. The search continues for the right prescription. But after those side effects, I seriously contemplate just dealing with my issues without medicine. Anxiety is a pain, but tolerable.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Liver Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Social Anxiety Disorder,"Zoloft (sertraline)""Took Zoloft for 3 months, didn't help.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Social Anxiety Disorder,"Zoloft (sertraline)""This medicine does help with inhibitions when talking to people. But I find that I'm not fully satisfied with this medicine. I still have bad anticipatory anxiety to social situations. To the point where I can't relax before a social event.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I have been on Sertraline for 5 weeks now and was so cautious as I have had maybe 3 SSRI s in the past. I've had nearly every side effect , nausea, headaches, panic attacks, hot sweats, hangover feelings and was so worried it wouldn't get better. I have anxiety and pure O and in week 5 I can honestly say my negative thoughts have been quietened down significantly.I've never taken any other medications that has ever done this, it's unbelievable. My mind is so calm I feel like a different person for the first time in years. Please don't be disheartened by the worsening symptoms in first 4/5 weeks it does get better, stick with it. Only thing I'd say my emotions are a bit deadened too but much better than Searing anxiety and negative thinking. Also remember there is always hope, get all the help you can and I hope sertraline helps you too.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Liver Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""Amazing! 
I was on Citalopram for a year. It worked for a little bit then one day stopped working. Anxiety took over, I was off work and unable to cope. I went to the doctors, she prescribed me Sertraline and explained to me that citalopram  is to treat depression first, anxiety second. My condition is strictly anxiety. On day one of the switch it felt amazing, energy was back, anxiety subsided and wasn’t consuming my every move. It has been 2 weeks and I am over the moon happy with this switch. It’s nice to feel “normal”""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Liver Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""Worked great. If you are hesitant about taking it, please do. It worked wonders for me.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Pain,"""I was diagnosed with gout at age 25. I tried numerous over the counter and homeopathic remedies over the years. This is by far the best for my gout flare-ups. I take 100mg  every three hours until pain subsides. Usually one tablet, sometimes two, but never any more. Going on 10 years now. Its a miracle for my infliction. Only side effects is a little diarrhea sometimes.""",,NSAID,Increased bleeding risk,Hypertension,Aspirin,Ibuprofen,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Obsessive Compulsive Disorder,"""I was exposed to some scary events(videos) and after a few days I had a horrible nightmare as well as extreme sweating that ended me up shaking in bed and being uncontrollable 1.5 month ago. About 12 hours after I woke up, I got horrible PTSD, Anxiety, and Panic Attacks all together. On top of these, I have excessive OCD and intrusive thoughts and obsessions since I was a child. I went to my family doctor and he gave me Sertraline.

Before it I couldn't sleep at night, I did not have insomnia, I was getting heart palpitations every time at night just before I fell asleep. It only occurred at night. It drove me crazy and the Panic Attacks were the worst thing of all. They would disable me.

 I must say sertraline saved my life, great medicine, I highly recommend Sertraline for OCD, PTSD, Anxiety, and Panic Disorder as my panic attacks went away after 1.5 week from taking the medicine. Taking 50mg for 2 years as directed by the doctor.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""It works to control generalized anxiety disorder. However, don't stop taking it until your doctor tells you to after at least a year. My psych took me off after 6 months and the symptoms returned.""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"Zoloft (sertraline)""I’ve been taking Zoloft for around 3 weeks now, first day was fine no side effects or anything. Everything hit me on the second day with nausea, migraine, dizziness, loss of sleep and my mood being lower than ever before. I started taking it for my severe anxiety and depression but since getting side effects my anxiety has been worse because I’m scared of feeling sick when I’m not at home. After 2 weeks of taking 25mg my doctor told me to increase to 50mg. It’s been 4 days on the 50mg and I’m still having side effects. I’ve had to miss nearly 3 weeks of school because I feel so sick and I can barely get out of my house, which is a big problem because I’m in high school and my exams are coming up in a couple of weeks, but I’ve missed so much school. Hopefully going back to my doctor soon to see if there is anything I can do, this medicine will work differently for everyone though.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""I want to thank the people here that have shared their experiences with Lexapro. In my darkest hours whilst waiting for the drug to kick in I would read all the positive reviews on this website and they gave me confidence that everything would be OK. Without you, I don't know what I would have done. A couple of years later and my life is on track and the future is looking rosy!""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Obsessive Compulsive Disorder,"""For my school years I have been struggling with anxiety. Last year I started having panic attacks. When me and my boyfriend had some problems, the anxiety got out of hand. I had horrendous OCD, depression and anxiety. The OCD was mostly obsessional (pure o), and I had all kinds of intrusive thoughts 24/7 repeating in my head for about 2 months. I sought therapy and my psychiatrist recommended Sertraline. I am a small woman, so I started with 25 mg. The first week was AWFUL. The intrusive thoughts got even worse (which I did not think was even possible), my anxiety sky rocketed and i felt so depressed. I got all the side effects, insomnia, anxiety, brain zaps, dizzyness, also the worst one for me which was terrible brain fog. My life felt awful After one week, I woke up in the morning. I had NO ANXIETY. ALMOST ZERO INTRUSIVE THOUGHTS. I remember feeling so relieved!! I felt alive again. On 50mg right now, I have bad moments but I’m overall fine. TRY IT!!!!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Borderline Personality DisorderOff-label,"""It helped me for a year, then it just didn't work for me. I use sertraline to keep me stable. My ups and downs have gotten more severe, my doctor prescribed me 150mg/day but it doesn't help me at all.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""I had a rough time last year.  I was diagnosed with a terrible illness and it took me months to recover both physically and mentally.  And, to add insult to injury, I was a new mother.  I honestly lost myself in anxiety and sadness and refused to believe I needed medication to get back to myself.  But with therapy and a six-month trial of Lexapro, I came back to being me.  I had some nausea at first, but it subsided within a week or so.  And, when it was right for me to come off the medication, I did it under a doctor's care - gradually.  Lexapro worked for me by helping me focus on both on cognitive therapy and on moving on from the trauma.""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""I'm 15 years old and I have taken a wide variety of antidepressants. I find Lexapro to be one of the better ones. I take 10mg of Lexapro and it does alright. I have noticed a 10  Pound weight gain on about 1 1/2 months of taking this. From my experiences with antidepressants, I do not like them. This is my 4th antidepressant and I just can't find the right one.""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""Have been on Lexapro for approximately 2 years. The side effects came slowly. The past few months could barely get out of bed, suffered from vertigo, no motivation to do anything, sat on the couch most of the day. I am weaning myself off the medication right now. The change is amazing. I have energy I look forward to getting up in the morning. We'll discuss with the doctor and alternative. I take bupropion so I should be okay.""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""This is a great drug.  I had battled depression my entire adult life and after a year of completely changing my diet, supplements, routine and seeing several counsellors I finally gave this a try.  IT CHANGED MY LIFE.  I can't believe I waited so long.  I used to spin in a tizzy over things.  I now realize I have control and stay calm.

Unfortunately I experienced many side effects with Lexapro.  I had nausea in the beginning, shortness of breath and fatigue.  I did not gain weight, which I was grateful for.  

Ultimately I switched to Prozac because this made me too tired, but I would recommend this over Prozac for most people because it supposedly has less side effects (though not for me).""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""Had a reaction to lexapro with hives all over my body. Big welts and super itchy. Seemed to help my anxiety, though, short amount of time I was on it.""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"Zoloft (sertraline)""On about a week now and feeling like my life is changing. I don't feel like complete garbage everyday, I don't over think everything, and I'm much happier. First day was the worst but then got clonazepam and it made the first period feel MUCH better. Loving it so far!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Obsessive Compulsive Disorder,"Zoloft (sertraline)""i never knew what it meant to be manic until i started taking Zoloft.  My OCD got worse and I was so jittery, yet felt so high on life nothing could stop me.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"Zoloft (sertraline)""My fiance and I broke up, which made me depressed. 3 weeks later, my mother passed away. I couldn't stop crying. A hospital was testing anti-depressants on me. We decided that Zoloft worked best on me. It made it easier to cope & I finally stopped crying. Eventually I was able to get back to my normal life. I took it for about 2 months.If it makes you tired, take it before bed, which I did. I believe it saved my life.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Major Depressive Disorder,"""escitalopram was live saving drug for me.""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"Zoloft (sertraline)""Dosages:
50 MG until Dec 2020
25 MG from December 2020 to August 9 2021, Dr's advice 
50 MG from August 9 to September 9 due to stressors bringing back depression
100 MG from Sept 9 to now, Dr's advice (been a little over 6 weeks)

Since my 9/27 post I have been blindsided with new stressors that are preventing me from stabilizing. I can tell the Zoloft is working some of the time, as the bad feelings are sometimes dulled and I am able to function. Mornings and early afternoons remain bad times for me. Hoping for full therapeutic effect within the next two weeks, as well as hoping my life gets calmer and doesn't derail the effects.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""Started on Lexapro 10mg 2 years ago for anxiety. First 6 weeks were very difficult with erectile dysfunction, insomnia, constantly tired & not being able to focus at work. I nearly stopped medication several times as was really messing me about. After 6 weeks most of the side effects eased and anxiety management was improved. Earlier this year had an upheaval in my relationship & was very depressed. My psychologist recommended trying a higher dosage of Lexapro and Doctor agreed to increase to 20mg.  Unfortunately the side effects experienced two years ago returned. Took 4 weeks for the side effects to ease & both anxiety and depression are now manageable.  Still seeing my psychologist as just important as the medication for me to ensure I have the right support structure in place. I currently am in the best place mentally I’ve been for several years and Lexapro has definitely helped in my case. Glad I persevered through the initial side effects as the change has been positive.""",,Antidepressant,Increased drowsiness,Liver Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"""I’ve been taking escitalopram for 7 weeks, started on 5mgs for the first 2 weeks, now on 10 mgs which I take after lunch. 
Between days 4-9 I felt bad (yawning, foggy headed and spaced out) but have got better and better every day. No longer ‘sweating the small stuff’, sleeping loads better (had dreadful nightmares that woke me up frequently). Generally calmer and more relaxed but still feel ‘myself’. It takes me a while to get going in the morning, that’s the only negative thing, I was a morning person before. A coffee helps! Hoping that this will improve but overall a good journey.""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"Lexapro (escitalopram)""Hi all, coming up to week 6 on Lexapro 15mg. First few weeks were absolute hard work. Since starting I’ve been experiencing shakes, twitches, brain fog and derealisation/depersonalisation which has been really awful. I am also currently on seroquel (quetiapine) 25mg in the mornings and evenings. I have had a few glimmers of hope but am still unable to leave the house, speak on the phone etc. I have noticed my ability to cry sober coming back which may seem bad, but is actually a really good thing for tension relief. My psych wanted me to up the dose to 20mg Lexapro but I couldn’t handle it...I know it can take awhile to begin to take effect but seeing everyone improving so much in so few weeks makes me feel worried! Does anyone have any experiences with it working later than expected?""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""escitalopram for Night Eating Syndrome (NES). For 5 years I have suffered from extreme hunger, multiple awakenings throughout the night to get up and eat. I would lose control and tried everything to make it stop. I've done so much research on this topic but never found an answer. I've done overnight sleep studies, nutritional therapy, been checked for parasites, hormonal imbalances, nutrient deficiencies. 

My doctor prescribed this medication for another issue but I noticed the sleep eating stopped. Sure enough, there have actually been clinical studies on treating people with NES with SSRIs with huge success

This has decreased my appetite so that now I'm actually full after I eat a meal. I used to eat and never feel full. The other amazing thing is that I'm actually getting proper REM sleep now, because my cycle isn't disrupted by multiple awakenings which prevented me from getting into a deep sleep""",,Antidepressant,Increased drowsiness,Liver Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""All I can say is WOW! After the birth of my son, I developed insomnia and anxiety. I placed a lot of pressure on myself to get enough sleep and the result was not being able to sleep. In addition, I have very high expectations of myself. I work from home and was studying at the time. From this, I caused so much anxiety for myself to the point where I couldn't control my thoughts and feelings. I was prescribed Zoloft which probably made me more anxious and I was on that for a year. My GP switched me to Lexapro 4 months ago.  On this med I feel like a different person. Happy, no anxious thoughts, I am sleeping like a log and am dreaming! I haven't dreamt in years and it's lovely! I have had no side effects on this drugs :)""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""I started taking 5 mg escitalopram about two months ago for anxiety, probably with mild depression as well. Like others, I read through countless reviews to convince myself that things will get better. While some people do not respond well, I want to add my positive experience for those who likewise felt anxious starting on an SSRI. To be honest, the side effects were pretty bad at first (increased anxiety, night sweats, dry mouth, nausea and loss appetite, loss of energy)  and I recommend taking the first few days off work if possible, but gradually I started to feel my mood increase. My physical symptoms of anxiety (lightheadedness, shortness of breath, headache, increased heart rate) have gradually decreased and I have fewer and fewer bad days. Now I still feel anxious sometimes and have intrusive thoughts but escitalopram makes it easier to acknowledge these feelings and thoughts and move on rather than dwelling on them. Things will get better!""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""Lexapro has saved my life and my marriage.  I had been depressed since I was very young and was told that antidepressants weren't an option while growing up.  Finally when I got married and realized that depression was going to ruin my marriage, my husband and I decided to try medication.  I am not big on taking medication unless you absolutely have to, but I felt there was no other option.  Man, am I glad I did!!  The initial side effects were pretty hard to deal with, but after that I felt great.  I take 10 mg every day at 1pm.  I have found that is the best time for me.  It has absolutely changed my life.""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""Greeting from England!  I have been taking this medication for over 5 years now and cannot fault it.  A lot of people think this medicine 'numbs' emotions but it made me feel like a new person.  I only take 50mg, but this has made all the difference to my life.  No side effects at all. CBT was useful as well. I tried Prozac but it had a severe effect on me.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""All I can say is wow. I can't believe the difference Lexapro has made in my life. I used to have horrible anxiety, suicidal thoughts, no motivation. Now I am excited for life, chasing after it. Colors are brighter, everything tastes better. Memories of my childhood that I could't recall before came back. I've also been waking up early when I used to fight to wake up at noon. Now, these results took a while. I felt an improvement in mood at about three weeks, and an increase in motivation at about five weeks. The first two weeks were rough- I experienced many side effects including mood swings, night sweats, nausea, increase in intrusive thoughts... but boy was it worth it.""",,Antidepressant,Increased drowsiness,Liver Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""I had a horrible time on it. Made me feel wired for DAYS! I couldn’t sleep AT ALL! I’d get very hot randomly and start sweating, I had crazy dreams, could barely eat. Horrible Horrible drug! I’d never take it again.""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"Lexapro (escitalopram)""This drug is pretty great for depression, however I am on it for serious anxiety and it has only exacerbated it for me. I feel agitated a lot and have insatiable hunger that has caused me to gain a few pounds. There have also been some sexual side effects that have made sex a little more of a challenge.""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Generalized Anxiety DisorderOff-label,"""I have been suffering with anxiety for the past 6 weeks. I have taken sertraline a few years ago so I thought I would try it again. It is now 10 days in and I must admit I am not feeling good. Tummy pains nausea and headache.  I am going to stick it out and reading the reviews really helps. Keep looking at the calendar and really hoping it won’t be long before feeling normal again. It is now 4 weeks taking sertraline. I definitely felt a little better the past 5 days however today. Terrible upset tummy and anxiety. Just hoping it is a blimp and tomorrow will be a better day""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""Lexapro has given me my life back. Now I'm back to work, back at the gym, socializing, running errands - all things that for the past year I could not do. I feel more at ease with life in general and my depression has also lifted. My husband has noted that I'm much easier to get along with and in turn he is happier. I've tried other meds in the past but this has worked wonders for me. I started on 5mg then after 2 months I went to 10mg. No weight gain at all, sleeping better and smiling more.""",,Antidepressant,Increased drowsiness,Liver Disease,Sertraline,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Pain,"Zorvolex (diclofenac)""I am bone on bone in my knee and was in a lot of pain. Had not been able to walk easily for several months. I felt so much better after taking 2  doses I was shocked. After three days I feel better than I have before I had the surgery that ended up making my knee worse than before. My only complaint is having to take three doses a day and it makes me very sleepy. I've tried prescription aleve and meloxicam and had stomach issues from both and I'm allergic to something in Celebrex. I feel like this medicine is a godsend.""",,NSAID,Increased bleeding risk,Heart Disease,Aspirin,Ibuprofen,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Bipolar DisorderOff-label,"""Thanks so much to everyone who has shared the early experience with sertraline.  I am on day 3 and do have the nausea.  I am going to stick with it though.  It is tolerable.  I am actually switching from venlafaxine to sertraline.  But so far I like the sertraline.  Good luck to everyone and thanks again for posting.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Panic Disorder,"""Zoloft is Amazing, it completely eradicated my panic attacks and anxiety. With no side effects, it completely changed my life. So grateful for Zoloft.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""Currently taking 5mg, on day 4. The first three days were bad, couldn't sleep, had no appetite, no libido, had nausea, cold feet, was lightheaded and very anxious (I was overthinking every little symptom 24/7) - when I consulted my doctor she told its like I'm the beginning and I should keep taking it. Now it's day 4, in the morning I could make an important call, finish tasks and finally eat more (also the nausea is almost 100% gone). My anxiety level is fluctuating a lot, but no attacks so far. It's too early to rate, so I'll come back after taking 10mg in the 2nd week.""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Levocetirizine,Drowsiness,Dry mouth,Headache,Fatigue,,Allergies,"""I have always have eczema my whole life. I have tried different creams & pills, both prescription & over the counter. I finally go to a dermatologist 2 weeks ago & she prescribed levocetirizine, along w/ a bunch of different creams. I told her I was using benadryl, which helped w/ itching until it wears off. I start taking it, & about 3-4 days later, I noticed that it had been roughly 24  hours of not using the bathroom. It didn't help w/ itching at all, sometimes made it worse. I quit taking them & when I contacted the doctor, her nurse said ""%u2026that can't happen at all%u2026"". Uh, so why does it list that under side effects?? I guess it works, but honestly, I rather take an anti-itch shot than risk having kidney failure & shaking non-stop. """,,Antihistamine,Sedation risk,Heart Disease,Cetirizine,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"""I dont know if I like this or not. Taking it for depressiom and anxiety disorder and I have add too. The issue with me, is wherr with add and anxiety I wouldnt act up as much because I was too nervous, now I basically have no filter mechanism and I just say whatever pops into my brain. Its weird.  Im not angry or anything. I also have major problems sleeping, but if I lay down I can sleep, but im kind of restless and just want to wander around. Im also kind of more forgetful on it and still have bad focus issues. I just dont care about the focus issues like I used to. I still need that fixed...but onw thing at a time I guess. 

So the first few days I really didnt feel different, aside from being more pleasant and chatty.""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""Been dealing with general anxiety my whole life. Have tried Effexor and Paxil in the past and had horrible side effects. After suffering for a few years, doc had me try Escitalopram. Not going to lie, first few weeks were awful. Super tired, ramped up anxiety, nausea. But it got a little better every day. I feel normal again. My brain feels clear. I don’t overthink every little thing. I feel like taking on the world every morning. Stick with it because it will work.""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Sciatica,"""Worked like charm. I took only 1 tablet and after 2 hours the pain disappeared for good. Was amazing!""",,NSAID,Increased bleeding risk,Pregnancy,Aspirin,Ibuprofen,
